"year","state","party","candidate","candidatevotes","party_percentage"
2012,"DELAWARE","DEMOCRAT","BARACK OBAMA",167082,40.3641133795723
2012,"DISTRICT OF COLUMBIA","DEMOCRAT","BARACK OBAMA",267070,90.9131139281872
2012,"FLORIDA","DEMOCRAT","BARACK OBAMA",541440,6.38929151720774
2012,"GEORGIA","DEMOCRAT","BARACK OBAMA",255470,6.55042884065589
2012,"HAWAII","DEMOCRAT","BARACK OBAMA",204349,47.0610587696127
2012,"IDAHO","REPUBLICAN","MITT ROMNEY",97554,14.955984754873
2012,"ILLINOIS","DEMOCRAT","BARACK OBAMA",1488537,28.3969468270134
2012,"INDIANA","DEMOCRAT","BARACK OBAMA",216336,8.24283472799362
2012,"IOWA","DEMOCRAT","BARACK OBAMA",128465,8.11949335726656
2012,"KANSAS","REPUBLICAN","MITT ROMNEY",158401,13.6994985530861
2012,"KENTUCKY","DEMOCRAT","BARACK OBAMA",186181,10.359434501884
2012,"LOUISIANA","DEMOCRAT","BARACK OBAMA",126722,6.3549583388706
2012,"MAINE","DEMOCRAT","BARACK OBAMA",101950,14.2951288594745
2012,"MARYLAND","DEMOCRAT","BARACK OBAMA",347938,12.8517168410022
2012,"MASSACHUSETTS","DEMOCRAT","BARACK OBAMA",471804,14.8938984464451
2012,"MICHIGAN","DEMOCRAT","BARACK OBAMA",595846,12.5946081567783
2012,"MINNESOTA","DEMOCRAT","BARACK OBAMA",423982,14.4380450465698
2012,"MISSISSIPPI","DEMOCRAT","BARACK OBAMA",76112,5.92042215833427
2012,"MISSOURI","DEMOCRAT","BARACK OBAMA",297097,10.774877852053
2012,"MONTANA","REPUBLICAN","MITT ROMNEY",40500,8.36894439714671
2012,"NEBRASKA","REPUBLICAN","MITT ROMNEY",113220,14.252642630281
2012,"NEVADA","DEMOCRAT","BARACK OBAMA",389936,38.4204438191066
2012,"NEW HAMPSHIRE","DEMOCRAT","BARACK OBAMA",102303,14.3900040932242
2012,"NEW JERSEY","DEMOCRAT","BARACK OBAMA",236618,6.49997307908267
2012,"NEW MEXICO","DEMOCRAT","BARACK OBAMA",150739,19.232849935822
2012,"NEW YORK","DEMOCRAT","BARACK OBAMA",580225,8.21624415439133
2012,"NORTH CAROLINA","DEMOCRAT","BARACK OBAMA",272262,6.04305260475717
2012,"NORTH DAKOTA","REPUBLICAN","MITT ROMNEY",36855,11.4126193749768
2012,"OHIO","DEMOCRAT","BARACK OBAMA",447232,8.01372987706829
2012,"OKLAHOMA","REPUBLICAN","MITT ROMNEY",149728,11.2166559790002
2012,"OREGON","DEMOCRAT","BARACK OBAMA",274887,15.363081033047
2012,"PENNSYLVANIA","DEMOCRAT","BARACK OBAMA",588806,10.254299865553
2012,"SOUTH CAROLINA","REPUBLICAN","MITT ROMNEY",121685,6.19540170193441
2012,"SOUTH DAKOTA","REPUBLICAN","MITT ROMNEY",40342,11.0886027239119
2012,"TENNESSEE","DEMOCRAT","BARACK OBAMA",232443,9.45437137010555
2012,"TEXAS","DEMOCRAT","BARACK OBAMA",587044,7.34369454722136
2012,"UTAH","REPUBLICAN","MITT ROMNEY",223811,21.9974642239346
2012,"VERMONT","DEMOCRAT","BARACK OBAMA",53626,17.9177386481339
2012,"VIRGINIA","DEMOCRAT","BARACK OBAMA",315273,8.17937215542709
2012,"WASHINGTON","DEMOCRAT","BARACK OBAMA",668004,21.3725989564603
2012,"WEST VIRGINIA","REPUBLICAN","MITT ROMNEY",41364,6.16967961338822
2012,"WISCONSIN","DEMOCRAT","BARACK OBAMA",332438,10.8235436607135
2012,"WYOMING","REPUBLICAN","MITT ROMNEY",23904,9.59764876877552
2016,"ALABAMA","DEMOCRAT","HILLARY CLINTON",156873,7.38793623523395
2016,"ARIZONA","REPUBLICAN","DONALD TRUMP",747361,28.6974465465847
2016,"ARKANSAS","DEMOCRAT","HILLARY CLINTON",89574,7.92763227766095
2016,"CALIFORNIA","DEMOCRAT","HILLARY CLINTON",2464364,17.377199109127
2016,"COLORADO","DEMOCRAT","HILLARY CLINTON",244551,8.79610246671127
2016,"DELAWARE","DEMOCRAT","HILLARY CLINTON",162919,36.7765470195058
2016,"DISTRICT OF COLUMBIA","DEMOCRAT","HILLARY CLINTON",282830,90.8638215299999
2016,"FLORIDA","DEMOCRAT","HILLARY CLINTON",624146,6.62572628414808
2016,"GEORGIA","DEMOCRAT","HILLARY CLINTON",297051,7.21924334418626
2016,"HAWAII","DEMOCRAT","HILLARY CLINTON",175696,40.9607937762422
